microchip_test_1,microchip_test_2,label
-0.21371,0.69225,1
-0.52477,0.2098,1
0.73675,-0.18494,1
0.322,0.5826,1
0.16647,0.53874,1
-0.17339,0.69956,1
-0.62846,0.33406,1
-0.11578,-0.39693,1
0.67339,-0.53582,1
-0.28283,0.47295,1
-0.36348,0.31213,1
-0.23675,-0.21418,1
-0.06394,-0.18494,1
0.48329,-0.18494,1
0.46025,0.012427,1
0.72523,0.44371,1
0.22408,0.52412,1
-0.0063364,0.39985,1
-0.20795,0.35599,1
-0.13882,-0.27266,1
0.22408,0.77997,0
0.76555,0.50219,0
0.96141,0.085526,0
0.85196,-0.36769,0
0.46601,-0.41886,0
-0.40956,-0.41155,0
-0.74366,-0.25804,0
-0.75518,0.2902,0
-0.69758,0.68494,0
-0.4038,0.70687,0
-0.38076,0.91886,0
-0.10426,0.99196,0
-0.15035,-0.36769,0
-0.49021,-0.3019,0
-0.28859,-0.060673,0
-0.66302,-0.21418,0
-0.59965,-0.41886,0
-0.72638,-0.082602,0
-0.83007,0.31213,0
-0.48445,0.99927,0
0.02308,-0.05597,1
0.16416,0.09384,1
0.87784,0.83593,0
0.28507,-0.13829,1
-0.69412,0.02959,0
0.90347,0.88832,0
-0.27015,-0.12885,1
-0.77821,0.45569,0
-0.40943,0.01263,1
0.62042,-0.68059,0
-0.61976,0.05633,0
-0.05285,0.54278,1
-0.48364,0.9132,0
-0.32804,-0.19966,1
0.12245,0.10926,1
-0.74497,-0.54021,0
-0.12435,0.47447,1
0.38735,0.31958,1
0.12641,0.13628,1
0.7836,-0.52432,0
0.06814,-0.26158,1
-0.06274,-0.64358,0
-0.44549,-0.29849,0
0.51477,0.06273,1
0.97621,0.17992,0
0.74385,-0.10715,0
0.82524,-0.75473,0
-0.11472,0.89255,0
0.11285,-0.68157,0
0.24892,0.15061,1
-0.48583,-0.7486,0
0.0375,0.78089,1
0.92416,0.75203,0
0.0944,-0.69963,0
-0.226,0.68822,1
0.02425,0.8723,0
-0.38865,0.40875,1
0.64431,0.10836,1
1.02304,-0.11219,0
0.78129,0.47029,0
-0.75372,0.77365,0
0.90704,0.84383,0
0.65307,-0.18811,1
-0.14209,-0.22192,1
-0.22094,0.41665,1
-0.76898,0.90963,0
0.71883,0.98977,0
-0.15636,0.5923,1
-0.3579,1.02443,0
-0.22808,0.86268,0
-0.3676,0.65793,1
0.59473,0.20595,1
0.83647,0.03267,0
-0.38177,0.98073,0
0.00842,-0.14577,1
0.90899,-0.75183,0
0.98516,0.07595,0
0.95568,1.03779,0
1.02342,-0.69682,0
0.922,0.01821,0
0.8463,-0.76667,0
0.36757,0.32235,1
0.21157,-0.30523,1
-0.19711,0.70126,1
0.08901,0.28869,1
-0.72176,-0.30619,0
0.65837,0.15692,1
-0.24626,0.29746,1
-0.63678,-0.1186,0
-0.66406,0.61196,0
0.49124,-0.42292,1
-0.44747,0.63661,1
-0.54415,0.57449,1
0.78278,0.48638,0
-0.32473,-0.22957,1
-0.69929,0.04501,0
-0.6249,0.98571,0
-0.39733,0.211,1
-0.32284,-0.19286,1
-0.30983,0.60642,1
-0.65766,-0.50587,0
0.56227,-0.31259,1
-0.11708,-0.70263,0
0.78371,-0.3851,0
-0.52639,0.18897,1
0.21761,-0.11378,1
0.28608,-0.66786,0
-0.38288,0.23246,1
0.65522,-0.39368,1
0.33712,-0.00291,1
0.10329,-0.24653,1
-0.41474,0.67931,1
-0.70334,0.66606,0
0.48852,0.44671,1
0.23138,-0.20097,1
0.51033,0.24696,1
0.75277,0.17627,0
-0.17143,-0.64149,0
0.40089,0.38195,1
0.44061,-0.12963,1
