microchip_test_1,microchip_test_2,label
-0.375,0.50219,1
-0.51325,0.46564,1
-0.30588,-0.19225,1
0.13191,-0.51389,1
0.52938,-0.5212,1
-0.046659,0.81652,1
-0.47869,0.63377,1
-0.42108,-0.27266,1
0.46601,-0.53582,1
-0.16187,0.8019,1
-0.30012,0.027047,1
0.062788,-0.16301,1
0.22984,-0.41155,1
0.2932,-0.2288,1
0.64459,-0.14108,1
0.44297,0.67032,1
0.13767,0.57529,1
-0.20795,0.17325,1
0.18376,0.93348,0
0.61578,0.7288,0
0.92684,0.3633,0
0.89804,-0.20687,0
0.82892,-0.5212,0
0.79435,-0.55775,0
0.59274,-0.7405,0
0.35081,-0.57968,0
-0.39228,-0.25804,0
-0.50749,0.90424,0
0.10311,0.77997,0
0.057028,0.91886,0
-0.081221,1.1089,0
0.28744,1.087,0
0.82316,0.66301,0
1.0709,0.10015,0
-0.046659,-0.57968,0
-0.23675,-0.63816,0
-0.46717,-0.13377,0
-0.61118,-0.067982,0
0.63265,-0.030612,0
0.3187,1.02574,0
-0.27211,0.86544,0
0.23276,-0.6659,0
0.91389,-0.71645,0
-0.62912,0.83477,0
0.47016,0.11392,1
0.80796,0.27036,0
-0.00581,-0.67536,0
0.01345,0.17613,1
0.99381,-0.28705,0
0.71289,-0.3945,0
0.9446,-0.2328,0
-0.05608,1.02776,0
-0.38951,0.26907,1
-0.7257,-0.63482,0
-0.20336,0.01446,1
-0.71216,0.76387,0
0.78409,0.45564,0
0.33335,-0.34115,1
0.16504,0.22688,1
0.24694,0.57303,1
0.78657,-0.72075,0
0.15736,-0.26659,1
0.42272,-0.73016,0
-0.68227,-0.18881,0
0.45543,0.7826,0
-0.35023,0.92516,0
1.01869,0.60338,0
-0.09681,-0.61933,0
-0.45734,0.01115,1
-0.38764,0.645,1
0.74879,-0.64855,0
0.16129,0.20405,1
-0.48574,0.74151,1
-0.79235,-0.25647,0
-0.68642,-0.18682,0
-0.17763,-0.41597,1
-0.02963,0.95449,0
-0.40775,0.02598,1
-0.53332,-0.71184,0
-0.46055,-0.17022,1
0.92478,0.03159,0
0.03705,0.00536,1
0.26776,-0.39248,1
1.0139,0.69151,0
0.41022,0.90121,0
0.47887,1.00122,0
0.72762,0.53448,0
-0.23203,0.56097,1
0.30208,0.89291,0
0.57141,0.05191,1
-0.53816,0.31331,1
-0.29927,0.87601,0
-0.40309,-0.55466,0
-0.78273,0.79061,0
0.952,-0.55085,0
-0.14921,-0.35468,1
0.77916,-0.12009,0
0.31915,-0.12514,1
0.98257,0.22503,0
-0.02655,-0.52731,1
0.44441,-0.19251,1
0.90122,-0.2021,0
-0.05385,0.15534,1
-0.6628,0.63239,0
-0.43129,0.8483,0
0.00198,0.04871,1
0.6079,0.37322,1
-0.49577,-0.50033,0
-0.45451,-0.19952,1
0.18496,0.37894,1
0.03074,0.19621,1
-0.50836,-0.35654,0
0.74368,-0.37768,0
-0.52791,0.35858,1
0.94197,0.91004,0
0.74095,0.93275,0
-0.75517,1.04886,0
-0.45133,-0.32255,0
0.34193,-0.25191,1
-0.73345,0.81968,0
0.24219,1.00338,0
-0.40807,-0.1758,1
1.04888,0.97182,0
-0.77844,0.772,0
0.26893,0.24945,1
-0.04454,1.02242,0
-0.18576,0.01546,1
0.90175,0.69243,0
0.31287,-0.0541,1
-0.16931,-0.15638,1
0.89048,-0.59303,0
-0.60014,0.94637,0
-0.75231,0.82924,0
-0.51948,-0.05299,1
-0.20901,0.67608,1
-0.78555,0.09499,0
0.88009,0.97542,0
0.31183,-0.42356,1
-0.16606,-0.16307,1
